Nummero Accident;Categorie de route;Nom de la route
202200000676; Route Départementale;REDOUTE (ROUTE DE LA)
202200000677;Voie Communales;PETUNIAS (RUE DES)
202200000678;Voie Communales;
202200000679;Voie Communales;MACCHINI EUGENE AVENUE
202200000680;Routes de métropole urbaine;PASTEUR                             (PT)
202200000681; Route Départementale;RN 396 (ROUTE NATIONALE)
202200000682;Voie Communales;RUE ALBERT CAMUS
202200000683;Voie Communales;
202200000684;Routes de métropole urbaine;PUY DE DOME (AVENUE DU)
202200000685;Voie Communales;BLANC LOUIS (BOULEVARD)
202200000686; Route Départementale;HENRI BARBUSSE (AVE) N°2-124
202200000687;Route nationale;REVOLUTION (PONT DE LA)
202200000688;Voie Communales;ROGER SALENGRO N° 02-92
202200000689;Voie Communales;FOCH RUE DU MARECHAL
202200000690; Route Départementale;PAUL ET CAMILLE THOMOUX (RUE) COTE IMPAI
202200000691;Voie Communales;COTY RUE RENE
202200000692;Voie Communales;Verdière(chemin)-MONTFAVET
202200000693; Route Départementale;AGRICULTEURS (DES)
202200000694;Autoroute;A50-Sens Aubagne vers Marseille
202200000695;Voie Communales;RENAULT (ROUTE DE)
202200000696;Autoroute;A507 sens Marseille - Aubagne
202200000697; Route Départementale;
202200000698;Parc de stationnement ouvert à la circulation publique;BOULEVARD ROGER SALENGRO
202200000699; Route Départementale;LUMIERE
202200000700;Routes de métropole urbaine;
202200000701;Voie Communales;DE GAULLE (AV DU GAL) APRES N°26
202200000702;Autoroute;AUTOROUTE A86
202200000703; Route Départementale;AQUEDUCS(CHEMIN DES)
202200000704;Voie Communales;FRANÇOIS MITTERRAND (AVENUE)
202200000705; Route Départementale;RD 75
202200000706;Voie Communales;EUGENE CARRIERE (RUE)
202200000707;Route nationale;RN 104
202200000708;Voie Communales;D 1006
202200000709;Voie Communales;CANONNIERS (RUE DES)
202200000710;Voie Communales;DOUAUMONT ( AVENUE DE )
202200000711;Autoroute;AUTOROUTE A86
202200000712; Route Départementale;D938
202200000713;Autoroute;40
202200000714;Voie Communales;TARBES DE
202200000715;Route nationale;315
202200000716;Voie Communales;MADRID (RUE DE)
202200000717;Voie Communales;LOEB (AVENUE DE L'INTERNE JACQUES)
202200000718;Voie Communales;VICTOR BASCH (AVENUE)
202200000719;Autoroute;13
202200000720; Route Départementale;TERLINCTHUN
202200000721;Autoroute;AUTOROUTE A6
202200000722;Voie Communales;VERT PRE (RUE DU)
202200000723;Autoroute;86
202200000724; Route Départementale;925
202200000725;Voie Communales;LANNOY (RUE DE)
202200000726; Route Départementale;915
202200000727; Route Départementale;DELESTRAINT (RUE DU GENERAL)
202200000728;Autoroute;86
202200000729;Voie Communales;SCRIBE (RUE  AUGUSTIN )
202200000730; Route Départementale;201
202200000731;Voie Communales;
202200000732;Voie Communales;MEIGNANNE ROUTE DE LA
202200000733;Autoroute;AUTOROUTE A3
202200000734; Route Départementale;1006
202200000735;Voie Communales;BIRGE BOULEVARD
202200000736;Autoroute;AUTOROUTE A15
202200000737;Voie Communales;PATIS
202200000738; Route Départementale;66
202200000739;Voie Communales;BOULEVARD SALVADOR ALLENDE
202200000740;Autoroute;AUTOROUTE A15
202200000741;Voie Communales;PAPIN (RUE DENIS)
202200000742;Voie Communales;
202200000743;Autoroute;AUTOROUTE A15
202200000744; Route Départementale;BELPECH ROUTE DE
202200000745;Autoroute;AUTOROUTE A103
202200000746;Routes de métropole urbaine;MARIE REYNOARD (AVENUE)
202200000747;Voie Communales;PARIS (RUE DE)
202200000748;Autoroute;AUTOROUTE A1
202200000749;Voie Communales;DE GAULLE (BD CHARLES)
202200000750;Autoroute;AUTOROUTE A3
202200000751;Voie Communales;
202200000752;Voie Communales;BLUM (RUE LEON)
202200000753;Autoroute;A4.Y
202200000754;Route nationale;ROCADE 10-11
202200000755;Autoroute;A104
202200000756; Route Départementale;GALLIENI (RUE DU GENERAL)
202200000757;Route nationale;RN136
202200000758; Route Départementale;FERRY (RUE JULES)
202200000759;Routes de métropole urbaine;VANIERES (AVENUE DE)
202200000760;Autoroute;A86 INT
202200000761;Voie Communales;LONGPERRIER (AVENUE DE)
202200000762;Voie Communales;AVE DE MAGUDAS
202200000763; Route Départementale;89
202200000764; Route Départementale;
202200000765;Voie Communales;RUE SAINTE- CATHERINE
202200000766;Voie Communales;DE LA ROCHE DU ROI
202200000767;Voie Communales;LISBONNE (RUE DE)
202200000768;Voie Communales;kaweni-Centrale EDM (rue de la )
202200000769;Voie Communales;ALL JEAN JAURES
202200000770;Voie Communales;GALILEE (RUE)
202200000771;Voie Communales;ALIZEES (PROMENADE DES)
202200000772; Route Départementale;GIRAUD SANNIER ( Rue )
202200000773;Autoroute;ECHANGEUR ST MARTIN ( A624-RD 901)
202200000774;Voie Communales;CONSTANT CHLORE(RUE)
202200000775; Route Départementale;MITTERRAND ( Ave. François )
202200000776; Route Départementale;LEPINE (françois)
202200000777;Voie Communales;MANDELA  (BOULEVARD)
202200000778; Route Départementale;SAINTE BEUVE (Bld)
202200000779;Voie Communales;CHURCHILL (AVENUE WINSTON)
202200000780;Autoroute;AUTOROUTE A1
202200000781;Voie Communales;POSTES (CHEMIN  DES)
202200000782;Voie Communales;
202200000783;Voie Communales;JOSEPH GILLET                       (QU)
202200000784; Route Départementale;79
202200000785;Voie Communales;
202200000786;Voie Communales;MENIVAL (DE)                        (AV)
202200000787; Route Départementale;LIEU- DIT VEYRAC (CD117)
202200000788; Route Départementale;407
202200000789;Route nationale;11 - RT
202200000790;Route nationale;RN5-BOISRIPEAUX
202200000791; Route Départementale;GRANDE RUE
202200000792;Voie Communales;CACHIN (RUE MARCEL)
202200000793;Voie Communales;SEBASTIANU COSTA BD
202200000794; Route Départementale;ROUTE NATIONALE 113 - CADESTEAUX
202200000795; Route Départementale;ARGENTEUIL (RUE D')
202200000796;Voie Communales;CHATEAU GOMBERT CHEMIN
202200000797;Voie Communales;CORNEILLE(RUE)
202200000798;Voie Communales;DIVISION LECLERC (AV. DE LA )
202200000799;Voie Communales;AV GENERAL DE GAULLE
202200000800;Voie Communales;BONNARDEL (RUE)
202200000801;Voie Communales;MORO GIAFFERI VINCENT RUE
202200000802;Voie Communales;NAU (RUE)
202200000803;Voie Communales;SAINT QUENTIN (BOULEVARD)
202200000804;Voie Communales;GARE (AVENUE DE LA)
202200000805;Voie Communales;BAILLE (BOULEVARD)
202200000806;Voie Communales;CAMPI LOUIS BD
202200000807;Voie Communales;AV JEAN MONNET BARRIOL
202200000808; Route Départementale;D 84 ROUTE STRATEGIQUE
202200000809;Voie Communales;Raymond Poincaré (Av)
202200000810;Voie Communales;LAVALETTE -CHEMIN DE-
202200000811; Route Départementale;MONTIVILLIERS (ROUTE DE)
202200000812;Voie Communales;MOUTON PAUL HENRI
202200000813; Route Départementale;613
202200000814; Route Départementale;ROUTE DEPARTEMENTALE (N°224)
202200000815;Voie Communales;QUEBEC (RUE DU)
202200000816;Voie Communales;DOCTEUR VICTOR MENARD
202200000817; Route Départementale;Rond-Point du Vieux Saule
202200000818;Voie Communales;CHARMILLES (MAIL DES)
202200000819;Voie Communales;PIERRE BROSSOLETTE                  (R )
202200000820;Voie Communales;PONSON (CHEMIN DE)
202200000821;Voie Communales;CROISETTE (BOULEVARD DE LA)
202200000822;Voie Communales;BALE (RUE DE)
202200000823;Voie Communales;PORTE DE LA VILLETTE
202200000824; Route Départementale;12
202200000825;Voie Communales;RATHSAMHAUSEN (RUE DE)
202200000826;Voie Communales;PORT DE BERCY
202200000827; Route Départementale;CHARCOT  BOULEVARD JEAN
202200000828;Voie Communales;
202200000829;Voie Communales;PORTE DE CLICHY
202200000830;Voie Communales;POTTIER (RUE)
202200000831;Voie Communales;
202200000832;Voie Communales;AVENUE GAMBETTA
202200000833;Voie Communales;REPUBLIQUE
202200000834; Route Départementale;ROISSY EN FRANCE [CR N9] (CHEMIN DE)
202200000835;Voie Communales;RUE DES PLATRIERES
202200000836;Route nationale;RAUSKI
202200000837; Route Départementale;JOHN F. KENNEDY (AVENUE)
202200000838;Voie Communales;AVENUE SIMON BOLIVAR
202200000839;Routes de métropole urbaine;BLERIOT (AVENUE LOUIS)
202200000840; Route Départementale;27
202200000841;Voie Communales;AVENUE KLEBER
202200000842; Route Départementale;168
202200000843;Voie Communales;RICHEPIN (RUE JEAN)
202200000844;Voie Communales;AVENUE DU MAHATMA GANDHI
202200000845; Route Départementale;903
202200000846;Routes de métropole urbaine;QUINET (BD EDGAR)
202200000847;Voie Communales;VOIE GEORGES POMPIDOU
202200000848;Voie Communales;
202200000849;Parc de stationnement ouvert à la circulation publique;
202200000850;Voie Communales;GUERIN RUE DU DOCTEUR
202200000851;Voie Communales;ALLEE DE LONGCHAMP
202200000852; Route Départementale;16
202200000853;Routes de métropole urbaine;SAINT VENANT CHARLES RUE
202200000854;Voie Communales;ALLEE DU BORD DE L EAU
202200000855; Route Départementale;909
202200000856;Voie Communales;MONTEBELLO BOULEVARD N° RESTE
202200000857;Voie Communales;RUE SAINT CHARLES
202200000858; Route Départementale;1201
202200000859;Voie Communales;CARNEL (RUE  DE )
202200000860;Voie Communales;RUE MADEMOISELLE
202200000861;Voie Communales;ONZE NOVEMBRE (RUE DU)
202200000862;Voie Communales;RUE DE BERCY
202200000863; Route Départementale;TOULLEC (RUE  FRANCOIS )
202200000864;Voie Communales;AVENUE PHILIPPE AUGUSTE
202200000865;Voie Communales;BRIAND (RUE ARISTIDE)
202200000866;Voie Communales;NATIONALE (AVENUE) LA NEUVILLETTE
202200000867;Voie Communales;PAIX (BOULEVARD DE LA)
202200000868;Voie Communales;MEIGNANNE
202200000869;Voie Communales;RUE DU CHEMIN VERT
202200000870;Voie Communales;MARTIN (BOULEVARD ALEXANDRE)
202200000871; Route Départementale;959
202200000872; Route Départementale;NATIONALE (ROUTE)
202200000873;Voie Communales;VERNISSON (RUE DU)
202200000874; Route Départementale;
202200000875;Route nationale;PERIPHERIQUE
202200000876; Route Départementale;LAFAYETTE(RUE)
202200000877;Route nationale;JEAN JAURES(QUAI)
202200000878;Voie Communales;AVENUE DES JEUX OLYMPIQUES
202200000879;Voie Communales;VITRE (BLD DE)
202200000880; Route Départementale;ST MARCEL(MONTEE)
202200000881;Voie Communales;CRS XAVIER ARNOZAN
202200000882; Route Départementale;CD 41
202200000883;Voie Communales;AVE DU TAILLAN-MEDOC
202200000884;Voie Communales;HOTEL DE VILLE
202200000885;Voie Communales;BD LAZARE CARNOT
202200000886;Voie Communales;LECLERC (AVENUE DU MARECHAL)
202200000887;Voie Communales;KERFEUNTEUN RUE DE
202200000888; Route Départementale;D 1006
202200000889;Voie Communales;DUQUESNE (DE 8 ET 13 A 23)
202200000890; Route Départementale;ITALIE (AVE)
202200000891;Voie Communales;ORLEANS (RUE D')
202200000892;Voie Communales;SAULE (AVENUE ANDRE)
202200000893; Route Départementale;PONTCOTTIER
202200000894;Voie Communales;BARBUSSE
202200000895;Voie Communales;DUBOUSQUET LABORDERIE (RUE)
202200000896;Voie Communales;SABLES   CHEMIN DES
202200000897; Route Départementale;423
202200000898;Routes de métropole urbaine;CD20 E
202200000899; Route Départementale;901
202200000900;Voie Communales;STADIUM (CD9)
202200000901;Route nationale;783
202200000902; Route Départementale;PLOMBIERES (BOULEVARD DES)
202200000903; Route Départementale;D712
202200000904; Route Départementale;croix du broual
202200000905;Routes de métropole urbaine;MERCANTOUR (BD)
202200000906; Route Départementale;THONON (ROUTE DE)
202200000907; Route Départementale;THIERS (AVENUE)
202200000908;Voie Communales;BACHAGA SAID BOUALAM (AVENUE)
202200000909; Route Départementale;907
202200000910; Route Départementale;909
202200000911; Route Départementale;907
202200000912;Voie Communales;MASSENET (RUE)
202200000913; Route Départementale;15
202200000914;Voie Communales;18 AOUT 44 (RUE DU)
202200000915; Route Départementale;22
202200000916; Route Départementale;CRETES (ROUTE DES)
202200000917; Route Départementale;952
202200000918; Route Départementale;1201
202200000919; Route Départementale;941
202200000920; Route Départementale;ROCADE (DEVIATION D'ARQUES )
202200000921;Voie Communales;THOUVENEL (RUE)
202200000922; Route Départementale;LIBERATION (ROUTE DE LA)
202200000923;Voie Communales;ROGER SALENGRO     (Avenue)
202200000924;Voie Communales;ANNEXION (RUE DE L')
202200000925;Voie Communales;DE GAULLE (AV DU GAL) APRES N°26
202200000926; Route Départementale;3
202200000927; Route Départementale;RD 673 (Rd Pt Cote d'Or, vers rue Buffon
202200000928;Voie Communales;CRAN (AVENUE DE)
202200000929; Route Départementale;LATTRE DE TASSIGNY (AVENUE DE)
202200000930; Route Départementale;910
202200000931;Routes de métropole urbaine;Route Nationale 83
202200000932;Voie Communales;PLAINE (AVENUE DE LA)
202200000933;Routes de métropole urbaine;Autoroute A.4
202200000934; Route Départementale;SAINT-OMER (ROUTE DE...............)
202200000935;Route nationale;tsoundzou-Kadjifouni ( rue )
202200000936;Voie Communales;ARRAS (RUE D'........)
202200000937; Route Départementale;CABASSOU (ROUTE DE)
202200000938; Route Départementale;FELIX EBOUE(ROCADE)
202200000939;Route nationale;ROUTE NATIONALE 1
202200000940; Route Départementale;1001
202200000941; Route Départementale;TIGRE (ROUTE DU)
202200000942; Route Départementale;LONGWY (RUE DE)
202200000943;Voie Communales;FELIX BRUN                          (R )
202200000944;Voie Communales;BELGES (DES)                        (BD)
202200000945; Route Départementale;ROUTE DEPARTEMENTALE 13
202200000946; Route Départementale;D 1006
202200000947; Route Départementale;RD 13
202200000948;Route nationale;Secteur Pont de la Gabarre
202200000949;Route nationale;Pont de BLANCHARD
202200000950; Route Départementale;PERI (AVENUE GABRIEL)
202200000951; Route Départementale;NATIONALE 6 (CES POMPIDOU)
202200000952;Voie Communales;DE GAULLE (AVENUE DU GENERAL)
202200000953;Voie Communales;MAUVENDIERE (RUE DE LA)
202200000954;Voie Communales;
202200000955;Voie Communales;INFANTERIE DE MARINE (AVE D')
202200000956;Routes de métropole urbaine;GIENS (ROUTE DE )
202200000957; Route Départementale;GABRIEL PERI (AVENUE)
202200000958;Voie Communales;VEUVE FLEURET (RUE)
202200000959; Route Départementale;RHIN ET DANUBE (PONT)
202200000960; Route Départementale;FRERES LEIRIS RUE DES
202200000961;Voie Communales;BOULEVARD PIERRE MENDES FRANCE
202200000962;Routes de métropole urbaine;YSER. BOULEVARD DE L'
202200000963;Voie Communales;APLEMONT (D')
202200000964; Route Départementale;RD 6015
202200000965;Voie Communales;BOURSE (ARCADES DE LA)
202200000966;Voie Communales;MAURICE THOREZ                      (AV)
202200000967;Routes de métropole urbaine;GENERAL DE GAULLE (ROUTE DU)
202200000968;Voie Communales;ILL (RUE DE L )
